Rank,City,Affordability Index
1,"Memphis, TN, United States",10.78
2,"Detroit, MI, United States",8.84
3,"Toledo, OH, United States",8.56
4,"Cleveland, OH, United States",8.1
5,"Rochester, NY, United States",8
6,"Mobile, AL, United States",7.85
7,"Wichita, KS, United States",7.67
8,"Little Rock, AR, United States",7.34
9,"El Paso, TX, United States",7.31
10,"Saint Louis, MO, United States",7.3
11,"Plano, TX, United States",7.29
12,"Huntsville, AL, United States",7.13
13,"Lubbock, TX, United States",7.01
14,"Albany, NY, United States",6.87
15,"Tulsa, OK, United States",6.79
16,"Kansas City, MO, United States",6.79
17,"Buffalo, NY, United States",6.71
18,"Lexington, KY, United States",6.64
19,"Oklahoma City, OK, United States",6.61
20,"Columbus, OH, United States",6.36
21,"Greenville, SC, United States",6.31
22,"Houston, TX, United States",6.23
23,"Chattanooga, TN, United States",6.13
24,"Indianapolis, IN, United States",6.1
25,"Jacksonville, FL, United States",6.1
26,"Pittsburgh, PA, United States",6.03
27,"Dallas, TX, United States",6.01
28,"Fort Worth, TX, United States",5.91
29,"Cincinnati, OH, United States",5.89
30,"Columbia, SC, United States",5.87
31,"Fort Wayne, IN, United States",5.81
32,"Dayton, OH, United States",5.73
33,"Louisville, KY, United States",5.68
34,"Omaha, NE, United States",5.56
35,"Baton Rouge, LA, United States",5.46
36,"Des Moines, IA, United States",5.44
37,"San Antonio, TX, United States",5.39
38,"Grand Rapids, MI, United States",5.38
39,"Anchorage, AK, United States",5.37
40,"Birmingham, AL, United States",5.16
41,"Baltimore, MD, United States",5.13
42,"Tallahassee, FL, United States",4.92
43,"Durham, NC, United States",4.91
44,"Tampa, FL, United States",4.88
45,"Bakersfield, CA, United States",4.81
46,"Raleigh, NC, United States",4.8
47,"Milwaukee, WI, United States",4.75
48,"Albuquerque, NM, United States",4.74
49,"Las Vegas, NV, United States",4.74
50,"Gainesville, FL, United States",4.73
51,"Orlando, FL, United States",4.72
52,"Charlotte, NC, United States",4.71
53,"Knoxville, TN, United States",4.66
54,"Saint Paul, MN, United States",4.65
55,"Richmond, VA, United States",4.57
56,"Fresno, CA, United States",4.56
57,"Tucson, AZ, United States",4.54
58,"Atlanta, GA, United States",4.45
59,"Fort Myers, FL, United States",4.45
60,"Phoenix, AZ, United States",4.44
61,"Minneapolis, MN, United States",4.41
62,"Nashville, TN, United States",4.29
63,"Ann Arbor, MI, United States",4.09
64,"Olympia, WA, United States",4.08
65,"Reno, NV, United States",4.07
66,"Madison, WI, United States",3.97
67,"Vancouver, WA, United States",3.9
68,"Saint Petersburg, FL, United States",3.87
69,"Colorado Springs, CO, United States",3.85
70,"Spokane, WA, United States",3.83
71,"Austin, TX, United States",3.82
73,"Salem, OR, United States",3.59
74,"Sacramento, CA, United States",3.58
75,"Aurora, CO, United States",3.55
76,"Fort Lauderdale, FL, United States",3.44
77,"Mesa, AZ, United States",3.35
80,"Philadelphia, PA, United States",3.24
82,"Denver, CO, United States",3.22
83,"Portland, OR, United States",3.17
84,"Salt Lake City, UT, United States",3.17
85,"Eugene, OR, United States",3.15
86,"Irvine, CA, United States",3.1
87,"Everett, WA, United States",3.08
89,"Boise, ID, United States",2.92
90,"Washington, DC, United States",2.89
91,"Charleston, SC, United States",2.83
93,"Asheville, NC, United States",2.71
94,"Miami, FL, United States",2.7
95,"San Diego, CA, United States",2.66
96,"Fort Collins, CO, United States",2.61
98,"Santa Rosa, CA, United States",2.58
99,"Seattle, WA, United States",2.54
100,"West Palm Beach, FL, United States",2.45
101,"Riverside, CA, United States",2.39
102,"Bend, OR, United States",2.22
103,"New Orleans, LA, United States",2.19
104,"San Jose, CA, United States",2.15
105,"Oakland, CA, United States",2.03
106,"Fremont, CA, United States",2.03
108,"Long Beach, CA, United States",1.95
110,"Los Angeles, CA, United States",1.91
111,"San Francisco, CA, United States",1.88
112,"Cambridge, MA, United States",1.88
113,"Santa Barbara, CA, United States",1.84
115,"Bellingham, WA, United States",1.76
116,"Boston, MA, United States",1.74
118,"Santa Cruz, CA, United States",1.72
120,"Sunnyvale, CA, United States",1.69
121,"Berkeley, CA, United States",1.57
122,"New York, NY, United States",1.34
123,"Honolulu, HI, United States",1.33
